reference_type,author,year,title,publisher,volume,issue,pages,abstract,url,field,subcategory,keywords,journal
Journal Article,"X., Zheng An, F., Jiao, Y., Li, Z., Zhang, Y., He, L.",2024,Optimized machine learning models for predicting crown convergence of plateau mountain tunnels,Elsevier Ltd,46,,,"The precise prediction of tunnel convergence holds significant importance in ensuring the safety and efficiency of tunnel construction. This study involves the construction of seven machine learning (ML) models that are deemed reliable for predicting crown convergence (CC) of plateau mountain tunnels. These models include K-nearest neighbour (KNN), support vector regression (SVR), decision tree (DT), random forest (RF), extreme gradient boosting (XGBoost), categorical boosting (CatBoost), and automated machine learning model (Auto-ML). The Bayesian optimization (BO) technique and the Tree-based pipeline optimization tool (TPOT) were employed to optimize the hyperparameters of non-automated machine learning models and the automated machine learning model, separately. A total of 2,734 samples of crown convergence monitoring data were collected for training and testing the models. The evaluation metrics employed to assess the performance of the models’ predictions included the determination coefficient (R2), mean absolute percentage error (MAPE), mean absolute error (MAE), and root mean square error (RMSE). The XGBoost model demonstrated the best prediction performance with the R2, MAPE, MAE, and RMSE of 0.9887, 0.1271, 0.7759, and 1.1845 on test set. The XGBoost, CatBoost, and Auto-ML models were utilized to predict the crown convergence monitoring curves of four sections of Huzhubeishan Tunnel in Qinghai Province, China. Notably, the predicted curves exhibited a significant level of concordance with the actual monitoring curves. The results of Shapley Additive Explanations (SHAP) suggested that time, tunnel depth ratio and groundwater table were more important than other input variables. The XGBoost model showed the best robustness of prediction performance across varying dataset sizes for seven distinct machine learning models. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190891329&doi=10.1016%2Fj.trgeo.2024.101254&partnerID=40&md5=a2b3a32352b35b51bd82f4a89fce28bc,CE,Geotechnical,tunnel convergence; machine learning; bayesian optimization; automated machine learning; explainable artificial intelligence,Transportation Geotechnics
Journal Article,"H., Brzozowski Anysz, L., Kretowicz, W., Narloch, P.",2020,Feature Importance of Stabilised Rammed Earth Components Affecting the Compressive Strength Calculated with Explainable Artificial Intelligence Tools,Multidisciplinary Digital Publishing Institute (MDPI),13,10,,"Cement-stabilized rammed earth (CSRE) is a sustainable construction material. The use of it allows for economizing on the cost of a structure. These two properties of CSRE are based on the fact that the soil used for the rammed mixture is usually dug close to the construction site, so it has random characteristics. That is the reason for the lack of widely accepted prescriptions for CSRE mixture, which could ascertain high enough compressive strength. Therefore, assessing which components of CSRE have the highest impact on its compressive strength becomes an important issue. There are three machine learning regression tools, i.e., artificial neural networks, decision tree, and random forest, used for predicting the compressive strength based on the relative content of CSRE composites (clay, silt, sand, gravel, cement, and water content). The database consisted of 434 samples of CSRE, which were prepared and crushed for testing purposes. Relatively low prediction errors of aforementioned models allowed for the use of explainable artificial intelligence tools (drop-out loss, mean squared error reduction, accumulated local effect) to rank the influence of the ingredients on the dependent variable-the compressive strength. Consistent results from all above-mentioned methods are discussed and compared to some statistical analysis of selected features. This innovative approach, helpful in designing the construction material is a solid base for reliable conclusions.",,CE,Materials,rammed earth; cement stabilized rammed earth; multivariate regression; random forest; artificial intelligence; features importance ranking,Materials
Journal Article,"M., Jan Arif, F., Rezzoug, A., Afridi, M. A., Luqman, M., Khan, W. A., Kujawa, M., Alabduljabbar, H., Khan, M.",2024,Data-driven models for predicting compressive strength of 3D-printed fiber-reinforced concrete using interpretable machine learning algorithms,Elsevier Ltd,21,,,"3D printing technology is growing swiftly in the construction sector due to its numerous benefits, such as intricate designs, quicker construction, waste reduction, environmental friendliness, cost savings, and enhanced safety. Nevertheless, optimizing the concrete mix for 3D printing is a challenging task due to the numerous factors involved, requiring extensive experimentation. Therefore, this study used three machine learning techniques, including Gene Expression Programming (GEP), Multi-Expression Programming (MEP), and Decision Tree (DT), to forecast the compressive strength of 3D printed fiber-reinforced concrete (3DP-FRC). The dataset comprises 299 data points with sixteen variables gathered from experimental research studies. For training the model, 70 % of the dataset was used, while the remaining 30 % was reserved for model testing. Several statistical metrics were utilized to evaluate the accuracy and applicability of the models. In addition, SHapley Additive exPlanations (SHAP), partial dependence plots, and individual conditional expectations approach were employed for the interpretability of the models. The proposed GEP, MEP, and DT models indicated enhanced efficacy, exhibiting correlation coefficient (R) scores of 0.996, 0.987, and 0.990, with mean absolute errors (MAE) of 1.029, 4.832, and 2.513, respectively. Overall, the established GEP model demonstrated exceptional performance compared to MEP and DT, showcasing high prediction precision in assessing the strength of 3DP-FRC. Moreover, a simple empirical formulation has been devised using GEP to predict the compressive strength, offering a simplified and efficient approach for predicting 3DPFRC strength. The SHAP approach identified water, silica fume, fiber diameter, curing age, and loading directions as leading controlling parameters in predicting strength of 3DP-FRC. In summary, the proposed models can potentially minimize both the computational workload and the need for experimental trials in formulating the mixed design of 3D-printed concrete.",,CE,Materials,machine learning; 3d-printed fiber reinforced concrete; model interpretability; compressive strength,Case Studies in Construction Materials
Journal Article,"L., Le Asaye, C., Huang, Y., Le, T. Q., Yadav, O. P., Le, T. Y.",2025,Predicting and Understanding Emergency Shutdown Durations Level of Pipeline Incidents Using Machine Learning Models and Explainable AI,Multidisciplinary Digital Publishing Institute (MDPI),13,2,,"Pipeline incidents pose significant concerns due to their potential environmental, economic, and safety risks, emphasizing the critical need to understand and manage this vital infrastructure. While existing studies predominantly focus on the causes of pipeline incidents and failures, few have investigated the consequences, such as shutdown duration, and most lack comprehensive models capable of accurately predicting and providing actionable insights into the risk factors. This study bridges this gap by employing machine learning (ML) techniques, including Random Forest and Light Gradient Boosting Machine (LightGBM), for classifying pipeline incidents' emergency shutdown duration levels. These techniques are specifically designed to capture complex, nonlinear patterns and interdependencies within the data, addressing the limitations of traditional linear approaches. The proposed model has further enhanced with Explainable AI (XAI) techniques, such as Shapley Additive exPlanations (SHAP) values, to improve interpretability and provide insights into the factors influencing shutdown durations. Historical incident data, collected from the Pipeline and Hazardous Materials Safety Administration (PHMSA) from 2010 to 2022, were utilized to examine the risk factors. K-Fold Cross-Validation with 5 folds was employed to ensure the model's robustness. The results demonstrate that the LightGBM model achieved the highest accuracy of 75.0%, closely followed by Random Forest at 74.8%. The integration of XAI techniques provides actionable insights into key factors such as pipeline material, age, installation layout, and commodity type, which significantly influence shutdown durations. These findings underscore the practical implications of the proposed approach, enabling pipeline operators, emergency responders, and regulatory authorities to make informed decisions that optimize resource allocation and mitigate risks effectively.",,CEM,Risk and Uncertainty,emergency shutdown duration; pipeline incidents; explainable ai; infrastructure resilience; risk management,Processes
Journal Article,"I., Alhadidi Asi, Y. I., AlHadidi, T. I.",2024,Predicting Marshall stability and flow parameters in asphalt pavements using explainable machine-learning models,Elsevier Ltd,18,,,"The traditional method for determining the Marshall stability (MS) and Marshall flow (MF) of asphalt pavements is laborious, time consuming, and costly. This study aims to predict these parameters using explainable machine-learning techniques. A comprehensive database comprising 721 hot mix asphalt (HMA) data points was established, including variables such as aggregate percentage, asphalt content, and specific gravity. Models were constructed using the PyCaret Python library, and their performance was assessed using metrics such as the mean absolute error (MAE) and coefficient of determination (R²). The CatBoost regression model outperformed the other models, achieving R² values of 0.835 and 0.845 for MS and MF, respectively. Additionally, Shapley values were used to quantify the variable effects on the predictions. This approach enables the efficient preselection of design variables, reducing the need for extensive laboratory testing and promoting sustainable construction practices. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206085293&doi=10.1016%2Fj.treng.2024.100282&partnerID=40&md5=4d7212ed37d92c04df84dfe7cf35a1ca,CE,Transportation,bitumen content; hma; marshall flow; marshall stability; prediction model; shap,Transportation Engineering
Journal Article,"B., Chakrabortty Badhon, R. K., Anavatti, S. G., Vanhoucke, M.",2025,IRAF-BRB: An explainable AI framework for enhanced interpretability in project risk assessment,Elsevier Ltd,285,,,"In high-stakes project risk assessment, balancing predictive accuracy with interpretability is critical to fostering stakeholder trust and supporting well-informed decision-making. This study presents the Interpretable Risk Assessment Framework with Belief Rule-Based Systems (IRAF-BRB), an Explainable AI (XAI) framework specifically designed to improve transparency, accountability, and accuracy in risk assessment. IRAF-BRB combines Interpretive Structural Modeling (ISM) to map and analyze interdependencies among risk factors with an optimized Belief Rule-Based (BRB) model. A modified Differential Evolution Covariance Matrix Self-Adaptation (DECMSA) algorithm is employed to enhance the predictive power of the BRB model while preserving interpretability, ensuring that stakeholders can both trust and understand the model's outputs. By transforming complex risk data into intuitive visualizations, the IRAF-BRB framework enables project managers to identify key risk drivers and anticipate cascading effects, leading to proactive risk mitigation. Experimental results demonstrate that IRAF-BRB reduces Mean Squared Error (MSE) to 4.09e−4 in predicting risk levels for high-rise construction projects, outperforming traditional BRB models such as Differential Evolution-based BRB (DE-BRB) (8.29e−4) and Particle Swarm Optimization-based BRB (PSO-BRB) (2.53e−3). The statistical significance of these results was confirmed via a two-sample t-test (p<0.05), establishing IRAF-BRB as a reliable and effective tool for accurate and interpretable risk assessment. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004558983&doi=10.1016%2Fj.eswa.2025.127979&partnerID=40&md5=e5a603d4a7163612c0146d40d896c520,CEM,Risk and Uncertainty,project risk assessment; explainable ai; belief rule base; interpretability; expert knowledge; optimization,Expert Systems With Applications
Journal Article,"B., Chakrabortty Badhon, R. K., Anavatti, S. G., Vanhoucke, M.",2025,A Multi-Module Explainable Artificial Intelligence Framework for Project Risk Management: Enhancing Transparency in Decision-making,Elsevier Ltd,148,,,"The remarkable advancements in machine learning (ML) have led to its extensive adoption in Project Risk Management (PRM), leveraging its powerful predictive capabilities and data-driven insights that support proactive decision-making. Nevertheless, the “black-box” nature of ML models obscures the reasoning behind predictions, undermining transparency and trust. To address this, existing explainable artificial intelligence (XAI) techniques, such as Local Interpretable Model-agnostic Explanations (LIME), Global Priors-based LIME (G-LIME), and SHapley Additive exPlanations (SHAP), have been applied to interpret black-box models. Yet, they face considerable limitations in PRM, including their inability to model cascading effects and multi-level dependencies among risk factors, suffering from inconsistencies due to random sampling, and failure to capture non-linear interactions in high-dimensional risk data. In response to these shortcomings, this paper proposes the Multi-Module eXplainable Artificial Intelligence framework for Project Risk Management (MMXAI-PRM), a novel approach designed to address the unique demands of PRM. The framework consists of three modules: the Risk Relationship Insight Module (RRIM), which models risk dependencies using a Knowledge Graph (KG); the Risk Factor Influence Analysis Module (RFIAM), which introduces a Conditional Tabular Generative Adversarial Network-aided Local Interpretable Model-agnostic Explanations using Kernel Ridge Regression (CTGAN-LIME-KR) to ensure explanation consistency and handle non-linearity; and the Visualization and Interpretation Module (VIM), which synthesizes these insights into an interpretable, chain-based representation. Extensive experiments demonstrate that MMXAI-PRM delivers more consistent, stable, and accurate explanations than existing XAI methods. By improving interpretability, it enhances trust in AI-driven risk predictions and equips project managers with actionable insights, advancing decision-making in PRM. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000295981&doi=10.1016%2Fj.engappai.2025.110427&partnerID=40&md5=26a317ec9a793091eca1ec7176834e7d,CEM,Risk and Uncertainty,explainable artificial intelligence; knowledge graph; conditional tabular generative adversarial networks; local interpretable model-agnostic explanations; project risk management,Engineering Applications of Artificial Intelligence
Journal Article,"N., Ravanshadnia Bagherian-Marandi, M., Akbarzadeh-T, M. R.",2021,Two-layered fuzzy logic-based model for predicting court decisions in construction contract disputes,Springer Science and Business Media B.V.,29,4,453–484,"The dynamic nature and increasing complexity of the construction industry have led to increased conflicts in construction projects. An accurate prediction of the outcome of a dispute resolution in courts could effectively reduce the number of disputes that would otherwise conclude by spending more money through litigation. This study aims to introduce a two-layered fuzzy logic model for predicting court decisions in construction contract disputes. 100 cases of construction contract disputes are selected from the courts of Iran. A questionnaire survey is then conducted to extract a set of fuzzy rules for identifying important decision parameters and expert knowledge. Accordingly, a two-layered fuzzy logic-based decision-making architecture is proposed for the prediction model. Furthermore, the fuzzy system is trained based on 10-fold cross-validation. Analysis of results indicates that 51 out of the 100 cases are filed after the dissolution and termination of the contract show a significant impact of these clauses as the root cause in construction contract disputes. Our results present a proposed hierarchical fuzzy system that can correctly predict nearly 60% of the test data. Also, we demonstrate a methodology of using argument before ML to establish interpretable AI models. Based on our findings, a fuzzy model with a hierarchical structure may be used as a simple and efficient method for predicting court decisions in construction contract disputes. © 2021 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099812241&doi=10.1007%2Fs10506-021-09281-9&partnerID=40&md5=8714d8bff9115a45743e67f5d71c136c,CEM,Contracting / Legal,Artificial intelligence; Construction project; Fuzzy expert systems; Judicial decisions; Litigation,Artificial Intelligence and Law
Journal Article,"A., Yekrangnia Baibordy, M.",2025,Predicting pull-out strength and failure modes of metal anchors embedded in masonry structures using explainable machine learning models and empirical equations,Elsevier B.V.,26,,,"One of the most widely used methods for the seismic retrofit of masonry structures is using anchorage systems. Tensile load (also referred to as pull-out force in this context) is one of the prominent loads applied to embedded anchors. Therefore, it is crucial to analyze and design the anchorage system to resist the pull-out force. Since experimental studies are time-consuming and labor-intensive, AI techniques have recently been successfully adopted to automate the prediction of the maximum pull-out force. While this approach has been successfully applied in concrete, there is still a significant gap in its application to masonry structures. This comprehensive study aims to bridge this gap by proposing suitable machine learning (ML) models and empirical equations that not only predict the pull-out force but also predict the various failure modes of the anchored steel rods in masonry. To achieve this, 13 distinct ML models, including both individual and ensemble models, were implemented for predicting each target variable. Optimization techniques were then used to fine-tune the hyperparameters, improving the performance of each ML model. A comparative study was conducted to evaluate the models against one another. Among all the models, the tuned Voting model, identified as the best for predicting pull-out force, showed an average error of about 3.0 kN and an R2 score of 93%. On the other hand, CatBoost demonstrated a strong performance with an accuracy of 90% and F1-score of about 89% in both the training and test data for predicting the failure modes. Further, Explainable ML (XML) provided valuable insights into the most important features involved in predicting both the pull-out force and failure modes. Moreover, the results showed that the proposed empirical equation produced satisfactory outcomes compared to other existing empirical equations in this context, achieving a total accuracy of 72% and an error of 7.5 kN. As a result of this study, accurate predictive models have been introduced that require only readily available information from any construction site to proceed. Furthermore, by comparing the capability of the XML used in this study with other analytical parametric studies such as finite element analysis, it was found that XML can serve as a suitable alternative for identifying the most important features of the pull-out behavior of metal anchors in masonry. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005207320&doi=10.1016%2Fj.rineng.2025.105287&partnerID=40&md5=8e1e1c444890edada61da722f480c6b8,CE,Structural,masonry; anchorage system; pull-out; bond strength; explainable machine learning; empirical equations,Results in Engineering
Journal Article,"A., Fayaz Bansal, S. J., Krishnan, N. M. A., Kota, S. H., Nema, A. K.",2025,Interpretable Machine Learning for Cost Estimation in Underground Pipe Installation,American Society of Civil Engineers (ASCE),16,3,,"This study explores the application of interpretable machine learning (ML) models for accurately estimating excavation and installation costs associated with underground high-density polyethylene (HDPE) pipeline projects. Leveraging design data from seven projects across Asia, the research evaluates six regression models: linear regression, lasso regression, elastic net regression, random forest regression, XGBoost, and Gaussian process regression. Model performance was assessed using the R-squared (R2) metric, with XGBoost and Gaussian process regression achieving the highest R2 scores (above 0.89) on the testing data sets. Shapley additive explanations (SHAP) analysis reveals that pipe length, diameter, and depth are the most significant predictors, with pipe length contributing most substantially to cost estimations. The results indicate that ML models, particularly XGBoost and Gaussian process regression and stacked models, provide reliable cost predictions when diverse, high-quality data are available, offering a valuable tool for early-stage project budgeting and planning in the pipeline industry. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002009834&doi=10.1061%2FJPSEA2.PSENG-1794&partnerID=40&md5=a5ffcf54eeb4d4d757b14e76511e1439,CEM,Cost Estimation / Bidding,machine learning; cost estimation; underground pipe network; excavation cost; pipe laying cost; shap; interpretable machine learning,Journal of Pipeline Systems Engineering and Practice
